Código,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",Afecto a IVA,Categoría Tributaria,Disponible Internet
900001,"SERVICIOS DE PRODUCCIÓN DE OBRAS DE TEATRO, CONCIERTOS, ESPECTÁCULOS DE DANZA, OTRAS PROD. ESCÉNICAS",G,1,SI
900002,"ACTIVIDADES ARTÍSTICAS REALIZADAS POR BANDAS DE MÚSICA, COMPAÑÍAS DE TEATRO, CIRCENSES Y SIMILARES",SI,1,SI
900003,"ACTIVIDADES DE ARTISTAS REALIZADAS DE FORMA INDEPENDIENTE: ACTORES, MÚSICOS, ESCRITORES, ENTRE OTROS",NO,2,SI
900004,SERVICIOS PRESTADOS POR PERIODISTAS INDEPENDIENTES,NO,2,SI
900009,"OTRAS ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO N.C.P.",G,G,SI
Código,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS Y MUSEOS Y OTRAS ACTIVIDADES CULTURALES",Afecto a IVA,Categoría Tributaria,Disponible Internet
910100,ACTIVIDADES DE BIBLIOTECAS Y ARCHIVOS,G,1,SI
910200,"ACTIVIDADES DE MUSEOS, GESTIÓN DE LUGARES Y EDIFICIOS HISTÓRICOS",G,1,SI
910300,"ACTIVIDADES DE JARDINES BOTÁNICOS, ZOOLÓGICOS Y RESERVAS NATURALES",G,1,SI
Código,ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS,Afecto a IVA,Categoría Tributaria,Disponible Internet
920010,ACTIVIDADES DE CASINOS DE JUEGOS,SI,1,NO
920090,OTRAS ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS N.C.P.,SI,1,NO
Código,ACTIVIDADES DEPORTIVAS,Afecto a IVA,Categoría Tributaria,Disponible Internet
931101,HIPÓDROMOS,SI,1,SI
931102,GESTIÓN DE SALAS DE BILLAR; GESTIÓN DE SALAS DE BOLOS (BOWLING),SI,1,SI
931109,GESTIÓN DE OTRAS INSTALACIONES DEPORTIVAS N.C.P.,G,1,SI
931201,ACTIVIDADES DE CLUBES DE FÚTBOL AMATEUR Y PROFESIONAL,G,1,SI
931209,ACTIVIDADES DE OTROS CLUBES DEPORTIVOS N.C.P.,G,1,SI
931901,PROMOCIÓN Y ORGANIZACIÓN DE COMPETENCIAS DEPORTIVAS,G,1,SI
931909,OTRAS ACTIVIDADES DEPORTIVAS N.C.P.,G,1,SI
Código,OTRAS ACTIVIDADES DE ESPARCIMIENTO Y RECREATIVAS,Afecto a IVA,Categoría Tributaria,Disponible Internet
932100,ACTIVIDADES DE PARQUES DE ATRACCIONES Y PARQUES TEMÁTICOS,SI,1,SI
932901,GESTIÓN DE SALAS DE POOL; GESTIÓN (EXPLOTACIÓN) DE JUEGOS ELECTRÓNICOS,SI,1,SI
932909,OTRAS ACTIVIDADES DE ESPARCIMIENTO Y RECREATIVAS N.C.P.,G,G,SI
