Código,ACTIVIDADES JURÍDICAS,Afecto a IVA,Categoría Tributaria,Disponible Internet
691001,SERVICIOS DE ASESORAMIENTO Y REPRESENTACIÓN JURÍDICA,NO,2,SI
691002,SERVICIO NOTARIAL,NO,2,NO
691003,CONSERVADOR DE BIENES RAÍCES,NO,2,NO
691004,RECEPTORES JUDICIALES,NO,2,SI
691009,SERVICIOS DE ARBITRAJE; SÍNDICOS DE QUIEBRA Y PERITOS JUDICIALES; OTRAS ACTIVIDADES JURÍDICAS N.C.P.,NO,2,SI
Código,"ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS Y AUDITORÍA; CONSULTORÍA FISCAL",Afecto a IVA,Categoría Tributaria,Disponible Internet
692000,"ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS Y AUDITORÍA; CONSULTORÍA FISCAL",NO,2,SI
Código,ACTIVIDADES DE OFICINAS PRINCIPALES,Afecto a IVA,Categoría Tributaria,Disponible Internet
701000,ACTIVIDADES DE OFICINAS PRINCIPALES,G,G,SI
Código,ACTIVIDADES DE CONSULTORÍA DE GESTIÓN,Afecto a IVA,Categoría Tributaria,Disponible Internet
702000,ACTIVIDADES DE CONSULTORÍA DE GESTIÓN,G,G,SI
Código,ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,Afecto a IVA,Categoría Tributaria,Disponible Internet
711001,"SERVICIOS DE ARQUITECTURA (DISEÑO DE EDIFICIOS, DIBUJO DE PLANOS DE CONSTRUCCIÓN, ENTRE OTROS)",NO,2,SI
711002,EMPRESAS DE SERVICIOS DE INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,SI,1,SI
711003,SERVICIOS PROFESIONALES DE INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,NO,2,SI
Código,ENSAYOS Y ANÁLISIS TÉCNICOS,Afecto a IVA,Categoría Tributaria,Disponible Internet
712001,ACTIVIDADES DE PLANTAS DE REVISIÓN TÉCNICA PARA VEHÍCULOS AUTOMOTORES,SI,1,SI
712009,OTROS SERVICIOS DE ENSAYOS Y ANÁLISIS TÉCNICOS (EXCEPTO ACTIVIDADES DE PLANTAS DE REVISIÓN TÉCNICA),G,1,SI
Código,INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA,Afecto a IVA,Categoría Tributaria,Disponible Internet
721000,INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA,G,1,SI
Código,INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS SOCIALES Y LAS HUMANIDADES,Afecto a IVA,Categoría Tributaria,Disponible Internet
722000,INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS SOCIALES Y LAS HUMANIDADES,G,1,SI
Código,PUBLICIDAD,Afecto a IVA,Categoría Tributaria,Disponible Internet
731001,SERVICIOS DE PUBLICIDAD PRESTADOS POR EMPRESAS,SI,1,SI
731002,SERVICIOS DE PUBLICIDAD PRESTADOS POR PROFESIONALES,NO,2,SI
Código,ESTUDIOS DE MERCADO Y ENCUESTAS DE OPINIÓN PÚBLICA,Afecto a IVA,Categoría Tributaria,Disponible Internet
732000,ESTUDIOS DE MERCADO Y ENCUESTAS DE OPINIÓN PÚBLICA,G,G,S
Código,ACTIVIDADES ESPECIALIZADAS DE DISEÑO,Afecto a IVA,Categoría Tributaria,Disponible Internet
741001,ACTIVIDADES DE DISEÑO DE VESTUARIO,G,G,SI
741002,ACTIVIDADES DE DISEÑO Y DECORACIÓN DE INTERIORES,G,G,SI
741009,OTRAS ACTIVIDADES ESPECIALIZADAS DE DISEÑO N.C.P.,G,G,SI
Código,ACTIVIDADES DE FOTOGRAFÍA,Afecto a IVA,Categoría Tributaria,Disponible Internet
742001,"SERVICIOS DE REVELADO, IMPRESIÓN Y AMPLIACIÓN DE FOTOGRAFÍAS",SI,1,SI
742002,SERVICIOS Y ACTIVIDADES DE FOTOGRAFÍA,G,G,SI
742003,SERVICIOS PERSONALES DE FOTOGRAFÍA,NO,2,SI
Código,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS N.C.P.",Afecto a IVA,Categoría Tributaria,Disponible Internet
749001,ASESORÍA Y GESTIÓN EN LA COMPRA O VENTA DE PEQUEÑAS Y MEDIANAS EMPRESAS,G,1,SI
749002,SERVICIOS DE TRADUCCIÓN E INTERPRETACIÓN PRESTADOS POR EMPRESAS,NO,1,SI
749003,SERVICIOS PERSONALES DE TRADUCCIÓN E INTERPRETACIÓN,NO,2,SI
749004,"ACTIVIDADES DE AGENCIAS Y AGENTES DE REPRESENTACIÓN DE ACTORES, DEPORTISTAS Y OTRAS FIGURAS PÚBLICAS",SI,1,SI
749009,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS N.C.P.",NO,2,SI
Código,ACTIVIDADES VETERINARIAS,Afecto a IVA,Categoría Tributaria,Disponible Internet
750001,ACTIVIDADES DE CLÍNICAS VETERINARIAS,G,1,SI
750002,"ACTIVIDADES DE VETERINARIOS, TÉCNICOS Y OTRO PERSONAL AUXILIAR, PRESTADOS DE FORMA INDEPENDIENTE",NO,2,SI
