Código,CONSTRUCCIÓN DE EDIFICIOS,Afecto a IVA,Categoría Tributaria,Disponible Internet
410010,CONSTRUCCIÓN DE EDIFICIOS PARA USO RESIDENCIAL,SI,1,SI
410020,CONSTRUCCIÓN DE EDIFICIOS PARA USO NO RESIDENCIAL,SI,1,SI
Código,CONSTRUCCIÓN DE CARRETERAS Y LÍNEAS DE FERROCARRIL,Afecto a IVA,Categoría Tributaria,Disponible Internet
421000,CONSTRUCCIÓN DE CARRETERAS Y LÍNEAS DE FERROCARRIL,SI,1,SI
Código,CONSTRUCCIÓN DE PROYECTOS DE SERVICIO PÚBLICO,Afecto a IVA,Categoría Tributaria,Disponible Internet
422000,CONSTRUCCIÓN DE PROYECTOS DE SERVICIO PÚBLICO,SI,1,SI
Código,CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL,Afecto a IVA,Categoría Tributaria,Disponible Internet
429000,CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL,SI,1,SI
Código,DEMOLICIÓN Y PREPARACIÓN DEL TERRENO,Afecto a IVA,Categoría Tributaria,Disponible Internet
431100,DEMOLICIÓN,SI,1,SI
431200,PREPARACIÓN DEL TERRENO,SI,1,SI
Código,"INSTALACIONES ELÉCTRICAS, DE GASFITERÍA Y OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCIÓN",Afecto a IVA,Categoría Tributaria,Disponible Internet
432100,INSTALACIONES ELÉCTRICAS,SI,1,SI
432200,"INSTALACIONES DE GASFITERÍA, CALEFACCIÓN Y AIRE ACONDICIONADO",SI,1,SI
432900,OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCIÓN,SI,1,SI
Código,TERMINACIÓN Y ACABADO DE EDIFICIOS,Afecto a IVA,Categoría Tributaria,Disponible Internet
433000,TERMINACIÓN Y ACABADO DE EDIFICIOS,SI,1,SI
Código,OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,Afecto a IVA,Categoría Tributaria,Disponible Internet
439000,OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,SI,1,SI
